Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
212;The Good Liar;2019;6.6;55;17401;R;https://imdb.com/title/tt5563334/;Crime;Drama;Mystery;Helen Mirren;Ian McKellen;Russell Tovey;0;0;0;4;109;10000000;33856058
213;Wine Country;2019;5.4;56;17149;R;https://imdb.com/title/tt8169446/;Comedy;;;Amy Poehler;Rachel Dratch;Ana Gasteyer;0;0;0;1;103;;
214;Blinded by the Light;2019;6.9;71;16727;PG-13;https://imdb.com/title/tt8266310/;Comedy;Drama;Music;Billy Barratt;Ronak Singh Chadha Berges;Viveik Kalra;0;0;2;6;118;15000000;18019198
215;47 Meters Down: Uncaged;2019;5.0;43;16694;PG-13;https://imdb.com/title/tt7329656/;Adventure;Drama;Horror;Sophie Nélisse;Corinne Foxx;Brianne Tju;0;0;0;0;90;12000000;46783103
216;The Beach Bum;2019;5.5;55;16271;R;https://imdb.com/title/tt6511932/;Comedy;;;Matthew McConaughey;Snoop Dogg;Isla Fisher;0;0;1;6;95;5000000;4554416
217;Queen & Slim;2019;7.0;74;15929;R;https://imdb.com/title/tt8722346/;Crime;Drama;Romance;Daniel Kaluuya;Jodie Turner-Smith;Bokeem Woodbine;0;0;10;32;132;18000000;47505301
218;A Dog's Journey;2019;7.5;43;15844;PG;https://imdb.com/title/tt8385474/;Adventure;Comedy;Drama;Josh Gad;Dennis Quaid;Kathryn Prescott;0;0;0;2;109;16000000;75602573
219;Someone Great;2019;6.2;63;15789;R;https://imdb.com/title/tt8075260/;Comedy;Romance;;Gina Rodriguez;LaKeith Stanfield;Brittany Snow;0;0;0;0;92;;
220;Jay and Silent Bob Reboot;2019;5.7;46;15473;R;https://imdb.com/title/tt6521876/;Comedy;;;Joey Lauren Adams;Ben Affleck;Fred Armisen;0;0;0;1;105;10000000;4691248
221;The Aftermath;2019;6.3;43;15369;R;https://imdb.com/title/tt5977276/;Drama;Romance;War;Keira Knightley;Ned Wills;Pandora Colin;0;0;0;0;108;;9215591
222;Jexi;2019;6.1;39;15207;R;https://imdb.com/title/tt9354944/;Comedy;;;Adam Devine;Alexandra Shipp;Rose Byrne;0;0;0;1;84;5000000;9172189
223;Let It Snow;2019;5.8;51;15129;PG-13;https://imdb.com/title/tt1950235/;Comedy;Romance;;Isabela Merced;Shameik Moore;Odeya Rush;0;0;0;1;92;;
224;Haunt;2019;6.3;69;15022;R;https://imdb.com/title/tt6535880/;Horror;Thriller;;Katie Stevens;Will Brittain;Lauryn Alisa McClain;0;0;0;2;92;5000000;2072204
225;I See You;2019;6.8;65;14617;R;https://imdb.com/title/tt6079516/;Crime;Drama;Horror;Helen Hunt;Jon Tenney;Judah Lewis;0;0;1;1;98;3000000;443426
226;Harriet;2019;6.4;66;14496;PG-13;https://imdb.com/title/tt4648786/;Action;Biography;Drama;Cynthia Erivo;Janelle Monáe;Leslie Odom Jr.;0;2;19;42;125;17000000;43282155
227;Wounds;2019;4.0;51;13812;R;https://imdb.com/title/tt5913798/;Drama;Horror;Mystery;Armie Hammer;Zazie Beetz;Karl Glusman;0;0;0;0;95;;
228;The Hole in the Ground;2019;5.7;63;13637;R;https://imdb.com/title/tt6198946/;Drama;Horror;Mystery;Seána Kerslake;James Quinn Markey;Kati Outinen;0;0;2;9;90;;3373474
229;The Kid Who Would Be King;2019;6.0;66;13635;PG;https://imdb.com/title/tt6811018/;Action;Adventure;Family;Louis Ashbourne Serkis;Denise Gough;Dean Chaumoo;0;0;1;1;120;59000000;32140970
230;The Informer;2019;6.5;61;13350;R;https://imdb.com/title/tt1833116/;Crime;Drama;Thriller;Joel Kinnaman;Rosamund Pike;Common;0;0;0;1;113;;2441411
